timestamp,npu_id,aicore_pct,power_w,temp_c,memory_used_mb,memory_total_mb,hbm_used_mb,hbm_total_mb
2026-07-22T04:04:38.514341938+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:38.514341938+00:00,3,0,93.6,36,0,0,58864,65536
2026-07-22T04:04:38.514341938+00:00,5,0,97.8,40,0,0,58965,65536
2026-07-22T04:04:38.514341938+00:00,7,0,97.7,40,0,0,58964,65536
2026-07-22T04:04:40.334704022+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:40.334704022+00:00,3,0,93.7,36,0,0,58863,65536
2026-07-22T04:04:40.334704022+00:00,5,0,90.6,40,0,0,58965,65536
2026-07-22T04:04:40.334704022+00:00,7,0,87.6,40,0,0,58965,65536
2026-07-22T04:04:42.162980533+00:00,2,0,89.2,36,0,0,58864,65536
2026-07-22T04:04:42.162980533+00:00,3,0,93.6,36,0,0,58864,65536
2026-07-22T04:04:42.162980533+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:04:42.162980533+00:00,7,0,87.5,40,0,0,58965,65536
2026-07-22T04:04:43.984004957+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:43.984004957+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:04:43.984004957+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:04:43.984004957+00:00,7,0,87.6,40,0,0,58965,65536
2026-07-22T04:04:45.798776073+00:00,2,0,89.2,36,0,0,58864,65536
2026-07-22T04:04:45.798776073+00:00,3,0,93.6,35,0,0,58864,65536
2026-07-22T04:04:45.798776073+00:00,5,0,90.7,41,0,0,58965,65536
2026-07-22T04:04:45.798776073+00:00,7,0,87.6,40,0,0,58965,65536
2026-07-22T04:04:47.612350629+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:47.612350629+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:04:47.612350629+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:04:47.612350629+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:04:49.432324347+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:49.432324347+00:00,3,0,93.6,36,0,0,58863,65536
2026-07-22T04:04:49.432324347+00:00,5,0,90.7,40,0,0,58964,65536
2026-07-22T04:04:49.432324347+00:00,7,0,87.6,39,0,0,58964,65536
2026-07-22T04:04:51.253130188+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:04:51.253130188+00:00,3,0,93.6,36,0,0,58863,65536
2026-07-22T04:04:51.253130188+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:04:51.253130188+00:00,7,0,87.4,40,0,0,58965,65536
2026-07-22T04:04:53.072556847+00:00,2,0,89.0,36,0,0,58864,65536
2026-07-22T04:04:53.072556847+00:00,3,0,93.4,36,0,0,58865,65536
2026-07-22T04:04:53.072556847+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:04:53.072556847+00:00,7,0,87.5,40,0,0,58965,65536
2026-07-22T04:04:54.888094465+00:00,2,0,89.2,36,0,0,58864,65536
2026-07-22T04:04:54.888094465+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:04:54.888094465+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:04:54.888094465+00:00,7,0,87.6,40,0,0,58965,65536
2026-07-22T04:04:56.694689429+00:00,2,0,89.0,36,0,0,58864,65536
2026-07-22T04:04:56.694689429+00:00,3,0,93.5,36,0,0,58864,65536
2026-07-22T04:04:56.694689429+00:00,5,0,90.6,41,0,0,58965,65536
2026-07-22T04:04:56.694689429+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:04:58.509117396+00:00,2,0,89.0,36,0,0,58864,65536
2026-07-22T04:04:58.509117396+00:00,3,0,93.6,36,0,0,58864,65536
2026-07-22T04:04:58.509117396+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:04:58.509117396+00:00,7,0,87.6,39,0,0,58964,65536
2026-07-22T04:05:00.322366534+00:00,2,0,89.0,36,0,0,58864,65536
2026-07-22T04:05:00.322366534+00:00,3,0,93.5,36,0,0,58864,65536
2026-07-22T04:05:00.322366534+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:00.322366534+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:05:02.142312648+00:00,2,0,89.2,36,0,0,58864,65536
2026-07-22T04:05:02.142312648+00:00,3,0,93.6,35,0,0,58864,65536
2026-07-22T04:05:02.142312648+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:02.142312648+00:00,7,0,87.4,39,0,0,58965,65536
2026-07-22T04:05:03.976395927+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:05:03.976395927+00:00,3,0,93.5,36,0,0,58864,65536
2026-07-22T04:05:03.976395927+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:03.976395927+00:00,7,0,87.6,39,0,0,58965,65536
2026-07-22T04:05:05.791539575+00:00,2,0,88.9,36,0,0,58864,65536
2026-07-22T04:05:05.791539575+00:00,3,0,93.4,35,0,0,58863,65536
2026-07-22T04:05:05.791539575+00:00,5,0,90.6,40,0,0,58965,65536
2026-07-22T04:05:05.791539575+00:00,7,0,87.4,40,0,0,58964,65536
2026-07-22T04:05:07.603962039+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:05:07.603962039+00:00,3,0,93.5,36,0,0,58863,65536
2026-07-22T04:05:07.603962039+00:00,5,0,90.5,40,0,0,58965,65536
2026-07-22T04:05:07.603962039+00:00,7,0,87.4,39,0,0,58964,65536
2026-07-22T04:05:09.416222180+00:00,2,0,89.2,36,0,0,58864,65536
2026-07-22T04:05:09.416222180+00:00,3,0,93.5,36,0,0,58863,65536
2026-07-22T04:05:09.416222180+00:00,5,0,90.4,40,0,0,58965,65536
2026-07-22T04:05:09.416222180+00:00,7,0,87.5,39,0,0,58964,65536
2026-07-22T04:05:11.223582194+00:00,2,0,89.1,36,0,0,58865,65536
2026-07-22T04:05:11.223582194+00:00,3,0,93.4,36,0,0,58863,65536
2026-07-22T04:05:11.223582194+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:05:11.223582194+00:00,7,0,87.2,40,0,0,58965,65536
2026-07-22T04:05:13.032075955+00:00,2,0,89.1,36,0,0,58865,65536
2026-07-22T04:05:13.032075955+00:00,3,0,93.4,35,0,0,58864,65536
2026-07-22T04:05:13.032075955+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:13.032075955+00:00,7,0,87.4,40,0,0,58965,65536
2026-07-22T04:05:14.855710428+00:00,2,0,89.1,35,0,0,58865,65536
2026-07-22T04:05:14.855710428+00:00,3,0,93.5,35,0,0,58864,65536
2026-07-22T04:05:14.855710428+00:00,5,0,90.4,41,0,0,58964,65536
2026-07-22T04:05:14.855710428+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:05:16.664505634+00:00,2,0,89.0,36,0,0,58865,65536
2026-07-22T04:05:16.664505634+00:00,3,0,93.4,35,0,0,58864,65536
2026-07-22T04:05:16.664505634+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:16.664505634+00:00,7,0,87.4,40,0,0,58964,65536
2026-07-22T04:05:18.472373026+00:00,2,0,89.0,36,0,0,58864,65536
2026-07-22T04:05:18.472373026+00:00,3,0,93.5,35,0,0,58864,65536
2026-07-22T04:05:18.472373026+00:00,5,0,90.4,41,0,0,58965,65536
2026-07-22T04:05:18.472373026+00:00,7,0,87.3,40,0,0,58964,65536
2026-07-22T04:05:20.287789787+00:00,2,0,88.9,36,0,0,58864,65536
2026-07-22T04:05:20.287789787+00:00,3,0,93.5,36,0,0,58864,65536
2026-07-22T04:05:20.287789787+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:20.287789787+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:05:22.107952935+00:00,2,0,89.1,36,0,0,58865,65536
2026-07-22T04:05:22.107952935+00:00,3,0,93.4,36,0,0,58865,65536
2026-07-22T04:05:22.107952935+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:22.107952935+00:00,7,0,87.6,40,0,0,58965,65536
2026-07-22T04:05:23.939618746+00:00,2,0,89.0,36,0,0,58865,65536
2026-07-22T04:05:23.939618746+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:05:23.939618746+00:00,5,0,90.5,41,0,0,58964,65536
2026-07-22T04:05:23.939618746+00:00,7,0,87.3,39,0,0,58965,65536
2026-07-22T04:05:25.759872165+00:00,2,0,89.0,36,0,0,58865,65536
2026-07-22T04:05:25.759872165+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:05:25.759872165+00:00,5,0,90.4,41,0,0,58965,65536
2026-07-22T04:05:25.759872165+00:00,7,0,87.4,39,0,0,58965,65536
2026-07-22T04:05:27.581229642+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:05:27.581229642+00:00,3,0,93.5,36,0,0,58863,65536
2026-07-22T04:05:27.581229642+00:00,5,0,90.4,40,0,0,58964,65536
2026-07-22T04:05:27.581229642+00:00,7,0,87.5,40,0,0,58964,65536
2026-07-22T04:05:29.393132217+00:00,2,0,89.1,36,0,0,58864,65536
2026-07-22T04:05:29.393132217+00:00,3,0,93.4,36,0,0,58863,65536
2026-07-22T04:05:29.393132217+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:29.393132217+00:00,7,0,87.3,40,0,0,58964,65536
2026-07-22T04:05:31.203435638+00:00,2,0,89.1,36,0,0,58865,65536
2026-07-22T04:05:31.203435638+00:00,3,0,93.3,36,0,0,58863,65536
2026-07-22T04:05:31.203435638+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:05:31.203435638+00:00,7,0,87.3,39,0,0,58965,65536
2026-07-22T04:05:33.012934915+00:00,2,0,89.0,36,0,0,58865,65536
2026-07-22T04:05:33.012934915+00:00,3,0,93.3,36,0,0,58864,65536
2026-07-22T04:05:33.012934915+00:00,5,0,90.6,40,0,0,58964,65536
2026-07-22T04:05:33.012934915+00:00,7,0,87.4,39,0,0,58965,65536
2026-07-22T04:05:34.816405276+00:00,2,0,88.9,36,0,0,58865,65536
2026-07-22T04:05:34.816405276+00:00,3,0,93.5,36,0,0,58864,65536
2026-07-22T04:05:34.816405276+00:00,5,0,90.5,40,0,0,58964,65536
2026-07-22T04:05:34.816405276+00:00,7,0,87.3,39,0,0,58965,65536
2026-07-22T04:05:36.626727737+00:00,2,0,88.9,36,0,0,58865,65536
2026-07-22T04:05:36.626727737+00:00,3,0,93.5,35,0,0,58864,65536
2026-07-22T04:05:36.626727737+00:00,5,0,90.5,41,0,0,58964,65536
2026-07-22T04:05:36.626727737+00:00,7,0,87.5,39,0,0,58964,65536
2026-07-22T04:05:38.432113269+00:00,2,0,88.9,36,0,0,58864,65536
2026-07-22T04:05:38.432113269+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:05:38.432113269+00:00,5,0,90.6,40,0,0,58965,65536
2026-07-22T04:05:38.432113269+00:00,7,0,87.4,39,0,0,58964,65536
2026-07-22T04:05:40.273653987+00:00,2,0,88.9,36,0,0,58864,65536
2026-07-22T04:05:40.273653987+00:00,3,0,93.4,36,0,0,58864,65536
2026-07-22T04:05:40.273653987+00:00,5,0,90.6,40,0,0,58965,65536
2026-07-22T04:05:40.273653987+00:00,7,0,87.2,39,0,0,58964,65536
