timestamp,npu_id,aicore_pct,power_w,temp_c,memory_used_mb,memory_total_mb,hbm_used_mb,hbm_total_mb
2026-07-22T02:35:18.349080856+00:00,2,0,97.9,36,0,0,58983,65536
2026-07-22T02:35:18.349080856+00:00,3,0,102.1,36,0,0,58982,65536
2026-07-22T02:35:18.349080856+00:00,5,0,90.5,40,0,0,58882,65536
2026-07-22T02:35:18.349080856+00:00,7,0,87.4,40,0,0,58882,65536
2026-07-22T02:35:20.210669386+00:00,2,0,89.2,36,0,0,58980,65536
2026-07-22T02:35:20.210669386+00:00,3,0,93.7,36,0,0,58980,65536
2026-07-22T02:35:20.210669386+00:00,5,0,90.5,40,0,0,58882,65536
2026-07-22T02:35:20.210669386+00:00,7,0,87.5,40,0,0,58882,65536
2026-07-22T02:35:22.024830530+00:00,2,0,89.2,36,0,0,58981,65536
2026-07-22T02:35:22.024830530+00:00,3,0,93.7,35,0,0,58981,65536
2026-07-22T02:35:22.024830530+00:00,5,0,90.5,40,0,0,58882,65536
2026-07-22T02:35:22.024830530+00:00,7,0,87.5,40,0,0,58882,65536
2026-07-22T02:35:23.844279028+00:00,2,0,89.4,36,0,0,58981,65536
2026-07-22T02:35:23.844279028+00:00,3,0,93.6,36,0,0,58981,65536
2026-07-22T02:35:23.844279028+00:00,5,0,90.6,40,0,0,58883,65536
2026-07-22T02:35:23.844279028+00:00,7,0,87.5,40,0,0,58882,65536
2026-07-22T02:35:25.659434067+00:00,2,0,89.2,36,0,0,58981,65536
2026-07-22T02:35:25.659434067+00:00,3,0,93.6,36,0,0,58980,65536
2026-07-22T02:35:25.659434067+00:00,5,0,90.4,40,0,0,58883,65536
2026-07-22T02:35:25.659434067+00:00,7,0,87.5,40,0,0,58882,65536
2026-07-22T02:35:27.476177641+00:00,2,0,89.1,36,0,0,58981,65536
2026-07-22T02:35:27.476177641+00:00,3,0,93.6,36,0,0,58980,65536
2026-07-22T02:35:27.476177641+00:00,5,0,90.5,40,0,0,58883,65536
2026-07-22T02:35:27.476177641+00:00,7,0,87.6,40,0,0,58883,65536
2026-07-22T02:35:29.297891985+00:00,2,0,89.1,36,0,0,58981,65536
2026-07-22T02:35:29.297891985+00:00,3,0,93.5,35,0,0,58980,65536
2026-07-22T02:35:29.297891985+00:00,5,0,90.5,41,0,0,58882,65536
2026-07-22T02:35:29.297891985+00:00,7,0,87.4,40,0,0,58883,65536
2026-07-22T02:35:31.118163466+00:00,2,0,89.1,36,0,0,58980,65536
2026-07-22T02:35:31.118163466+00:00,3,0,93.5,36,0,0,58980,65536
2026-07-22T02:35:31.118163466+00:00,5,0,90.5,40,0,0,58882,65536
2026-07-22T02:35:31.118163466+00:00,7,0,87.5,40,0,0,58883,65536
2026-07-22T02:35:32.939478064+00:00,2,0,89.1,36,0,0,58981,65536
2026-07-22T02:35:32.939478064+00:00,3,0,93.4,36,0,0,58980,65536
2026-07-22T02:35:32.939478064+00:00,5,0,90.4,40,0,0,58882,65536
2026-07-22T02:35:32.939478064+00:00,7,0,87.4,40,0,0,58883,65536
2026-07-22T02:35:34.750063600+00:00,2,0,89.2,36,0,0,58981,65536
2026-07-22T02:35:34.750063600+00:00,3,0,93.6,36,0,0,58980,65536
2026-07-22T02:35:34.750063600+00:00,5,0,90.5,40,0,0,58882,65536
2026-07-22T02:35:34.750063600+00:00,7,0,87.6,40,0,0,58882,65536
2026-07-22T02:35:36.566404598+00:00,2,0,89.3,36,0,0,58981,65536
2026-07-22T02:35:36.566404598+00:00,3,0,93.5,36,0,0,58980,65536
2026-07-22T02:35:36.566404598+00:00,5,0,90.6,40,0,0,58883,65536
2026-07-22T02:35:36.566404598+00:00,7,0,87.5,40,0,0,58882,65536
2026-07-22T02:35:38.385424639+00:00,2,0,89.2,36,0,0,58981,65536
2026-07-22T02:35:38.385424639+00:00,3,0,93.6,36,0,0,58980,65536
2026-07-22T02:35:38.385424639+00:00,5,0,90.5,41,0,0,58882,65536
2026-07-22T02:35:38.385424639+00:00,7,0,87.4,40,0,0,58882,65536
2026-07-22T02:35:40.202016091+00:00,2,0,89.1,36,0,0,58981,65536
2026-07-22T02:35:40.202016091+00:00,3,0,93.5,36,0,0,58980,65536
2026-07-22T02:35:40.202016091+00:00,5,0,90.5,40,0,0,58882,65536
