timestamp,npu_id,aicore_pct,power_w,temp_c,memory_used_mb,memory_total_mb,hbm_used_mb,hbm_total_mb
2026-07-22T04:21:35.024413662+00:00,2,0,98.2,36,0,0,58965,65536
2026-07-22T04:21:35.024413662+00:00,3,0,102.4,36,0,0,58964,65536
2026-07-22T04:21:35.024413662+00:00,5,0,90.6,40,0,0,58864,65536
2026-07-22T04:21:35.024413662+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:36.836111454+00:00,2,0,89.1,36,0,0,58965,65536
2026-07-22T04:21:36.836111454+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:36.836111454+00:00,5,0,90.6,41,0,0,58865,65536
2026-07-22T04:21:36.836111454+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:38.663083360+00:00,2,0,89.1,36,0,0,58965,65536
2026-07-22T04:21:38.663083360+00:00,3,0,93.7,36,0,0,58964,65536
2026-07-22T04:21:38.663083360+00:00,5,0,90.7,41,0,0,58865,65536
2026-07-22T04:21:38.663083360+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:40.484595239+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:21:40.484595239+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:40.484595239+00:00,5,0,90.6,41,0,0,58864,65536
2026-07-22T04:21:40.484595239+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:42.312627312+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:21:42.312627312+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:42.312627312+00:00,5,0,90.6,40,0,0,58864,65536
2026-07-22T04:21:42.312627312+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:44.132065598+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:21:44.132065598+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:44.132065598+00:00,5,0,90.8,40,0,0,58864,65536
2026-07-22T04:21:44.132065598+00:00,7,0,87.5,40,0,0,58865,65536
2026-07-22T04:21:45.952645663+00:00,2,0,89.1,36,0,0,58965,65536
2026-07-22T04:21:45.952645663+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:45.952645663+00:00,5,0,90.6,40,0,0,58864,65536
2026-07-22T04:21:45.952645663+00:00,7,0,87.5,40,0,0,58865,65536
2026-07-22T04:21:47.772294912+00:00,2,0,89.3,36,0,0,58964,65536
2026-07-22T04:21:47.772294912+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:47.772294912+00:00,5,0,90.7,40,0,0,58864,65536
2026-07-22T04:21:47.772294912+00:00,7,0,87.6,40,0,0,58865,65536
2026-07-22T04:21:49.602436709+00:00,2,0,89.1,36,0,0,58964,65536
2026-07-22T04:21:49.602436709+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:49.602436709+00:00,5,0,90.6,40,0,0,58864,65536
2026-07-22T04:21:49.602436709+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:51.424805611+00:00,2,0,89.1,36,0,0,58964,65536
2026-07-22T04:21:51.424805611+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:51.424805611+00:00,5,0,90.6,41,0,0,58864,65536
2026-07-22T04:21:51.424805611+00:00,7,0,87.5,40,0,0,58865,65536
2026-07-22T04:21:53.240920034+00:00,2,0,89.1,36,0,0,58965,65536
2026-07-22T04:21:53.240920034+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:53.240920034+00:00,5,0,90.7,40,0,0,58864,65536
2026-07-22T04:21:53.240920034+00:00,7,0,87.6,40,0,0,58865,65536
2026-07-22T04:21:55.052872231+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:21:55.052872231+00:00,3,0,93.8,36,0,0,58965,65536
2026-07-22T04:21:55.052872231+00:00,5,0,90.6,41,0,0,58864,65536
2026-07-22T04:21:55.052872231+00:00,7,0,87.6,40,0,0,58865,65536
2026-07-22T04:21:56.872158525+00:00,2,0,89.1,36,0,0,58964,65536
2026-07-22T04:21:56.872158525+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:56.872158525+00:00,5,0,90.7,41,0,0,58865,65536
2026-07-22T04:21:56.872158525+00:00,7,0,87.6,40,0,0,58864,65536
2026-07-22T04:21:58.689238303+00:00,2,0,89.1,36,0,0,58964,65536
2026-07-22T04:21:58.689238303+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:21:58.689238303+00:00,5,0,90.6,41,0,0,58865,65536
2026-07-22T04:21:58.689238303+00:00,7,0,87.5,40,0,0,58864,65536
2026-07-22T04:22:00.498529797+00:00,2,0,89.0,36,0,0,58964,65536
2026-07-22T04:22:00.498529797+00:00,3,0,93.6,36,0,0,58964,65536
2026-07-22T04:22:00.498529797+00:00,5,0,90.5,40,0,0,58864,65536
2026-07-22T04:22:00.498529797+00:00,7,0,87.6,40,0,0,58865,65536
2026-07-22T04:22:02.306083673+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:22:02.306083673+00:00,3,0,93.7,36,0,0,58965,65536
2026-07-22T04:22:02.306083673+00:00,5,0,90.6,41,0,0,58864,65536
2026-07-22T04:22:02.306083673+00:00,7,0,87.5,40,0,0,58864,65536
2026-07-22T04:22:04.125665192+00:00,2,0,89.2,36,0,0,58965,65536
2026-07-22T04:22:04.125665192+00:00,3,0,93.5,36,0,0,58965,65536
