timestamp,npu_id,aicore_pct,power_w,temp_c,memory_used_mb,memory_total_mb,hbm_used_mb,hbm_total_mb
2026-07-22T01:32:08.567830602+00:00,2,0,97.6,36,0,0,59352,65536
2026-07-22T01:32:08.567830602+00:00,3,0,102.2,36,0,0,59354,65536
2026-07-22T01:32:08.567830602+00:00,5,0,98.2,42,0,0,59348,65536
2026-07-22T01:32:08.567830602+00:00,7,0,97.7,40,0,0,59347,65536
2026-07-22T01:32:10.382083869+00:00,2,0,89.0,36,0,0,59352,65536
2026-07-22T01:32:10.382083869+00:00,3,0,93.8,36,0,0,59352,65536
2026-07-22T01:32:10.382083869+00:00,5,0,91.0,41,0,0,59348,65536
2026-07-22T01:32:10.382083869+00:00,7,0,87.8,40,0,0,59348,65536
2026-07-22T01:32:12.207896471+00:00,2,0,89.1,36,0,0,59353,65536
2026-07-22T01:32:12.207896471+00:00,3,0,93.8,36,0,0,59352,65536
2026-07-22T01:32:12.207896471+00:00,5,0,91.0,41,0,0,59348,65536
2026-07-22T01:32:12.207896471+00:00,7,0,87.7,40,0,0,59348,65536
2026-07-22T01:32:14.022202939+00:00,2,0,89.1,36,0,0,59353,65536
2026-07-22T01:32:14.022202939+00:00,3,0,93.8,36,0,0,59352,65536
2026-07-22T01:32:14.022202939+00:00,5,0,91.0,41,0,0,59348,65536
2026-07-22T01:32:14.022202939+00:00,7,0,87.8,40,0,0,59348,65536
2026-07-22T01:32:15.830005433+00:00,2,0,89.0,36,0,0,59352,65536
2026-07-22T01:32:15.830005433+00:00,3,0,93.7,36,0,0,59352,65536
2026-07-22T01:32:15.830005433+00:00,5,0,91.0,41,0,0,59348,65536
2026-07-22T01:32:15.830005433+00:00,7,0,87.7,40,0,0,59348,65536
2026-07-22T01:32:17.642121476+00:00,2,0,89.1,36,0,0,59352,65536
2026-07-22T01:32:17.642121476+00:00,3,0,93.7,36,0,0,59352,65536
2026-07-22T01:32:17.642121476+00:00,5,0,91.0,41,0,0,59348,65536
2026-07-22T01:32:17.642121476+00:00,7,0,87.7,40,0,0,59348,65536
